Country Name,"Country Code","Series Name","Series Code","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]"
Europe & Central Asia (IDA & IBRD countries),"TEC","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","1.57429905530187","1.51757026305008","1.59142066303244","1.25124252261853","1.43534986939505","1.59846807816579","1.57018662051117","1.7126380518412","1.97338309441912","2.20847642310022","2.0904996997229","2.13960387134709","2.68718652405473","",""
European Union,"EUU","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","5482737000000","4257814000000","4769308000000","5585478000000","5335779000000","5536175000000","5653032000000","4929051000000","4969739000000","5466719000000","5992948000000","5825391000000","5475084000000","6647170000000","7153074000000"
European Union,"EUU","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","3.4574661779456","3.80837177916765","3.66603576586211","3.41673275415453","3.80148091784148","4.00627377917","4.00086568817986","4.09442535876151","3.83355618907259","3.5225749894589","3.2551042236251","3.25018180089526","3.04648431652295","",""
European Union,"EUU","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","5594618000000","4196951000000","4734658000000","5558134000000","5167075000000","5258989000000","5348796000000","4609273000000","4621872000000","5161125000000","5752013000000","5544411000000","5156001000000","6508387000000","7466570000000"
European Union,"EUU","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","3.53952788883133","2.83672315917653","3.14683291393386","3.14792699016508","3.81748307174562","3.42786523504371","2.99761498199157","2.47947119888491","2.19401160241422","2.40081099796994","2.72167108580408","2.61305739251227","1.87294864232446","",""
Fragile and conflict affected situations,"FCS","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","467178046495.652","309118094212.587","395126928969.178","487090974804.436","524398260652.35","472900679957.682","430001330537.78","272184156644.014","223631539016.168","291043345137.062","371650870770.4","344735112030.808","241107369637.436","360768665817.006","423558714228.881"
Fragile and conflict affected situations,"FCS","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","8.56652110508793","10.1626739725169","9.25710973853639","4.21062363247913","5.72415765581717","5.11703553357402","4.56606707393642","5.19001787035146","5.72054147701884","5.52362363516262","4.35894614064692","6.35657679056199","7.68046917956244","",""
Fragile and conflict affected situations,"FCS","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","349205598578.203","288766348255.56","337202082351.334","399296774672.478","430268116263.308","443821917481.226","419942947521.712","349594991853.322","282721382064.807","292390620957.94","333837058112.871","367781948350.065","294862331212.306","348245684555.343","418972843353.71"
Fragile and conflict affected situations,"FCS","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","11.5566718420218","11.8181466741301","11.2354031927235","7.93787072148819","7.93038711235128","8.13205620254181","7.76219754514828","7.72694136157638","8.12276371027701","7.98260035019708","8.55421930024454","8.84529208057491","8.66003492060962","",""
Heavily indebted poor countries (HIPC),"HPC","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","96390545548.1494","83857937354.3597","103142271103.163","131654130439.495","126133277082.317","131656138387.615","134529512147.98","114491193879.947","110218280279.629","131125036109.756","148182555392.98","137606692642.569","140625642641.666","182275506530.104","210888767246.518"
Heavily indebted poor countries (HIPC),"HPC","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","4.44199751451015","4.35641512293454","5.3954204468293","4.91963905345753","6.95039989327465","6.60004666306722","6.46118785756802","6.1434617448498","8.91532245999811","8.08285457634091","6.82776501849148","11.3140828032972","12.0012648400254","",""
Heavily indebted poor countries (HIPC),"HPC","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","131737529857.835","116069602097.186","136085764544.186","167433690113.191","188177072934.521","200419118821.076","203541237827.884","191840332413.515","173910276545.162","177932619943.431","192741562642.284","192968881874.095","174318646492.573","212541470067.872","252159389990.607"
Heavily indebted poor countries (HIPC),"HPC","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","7.68854835309665","7.53269841457094","8.45352392829695","8.75940276727497","9.00812640554611","8.07913334351121","8.58027380357104","11.7603635443954","9.51957610218902","11.1741982605866","11.470933175651","12.1330513847827","11.3099988449878","",""
High income,"HIC","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","11474453084351.4","8925928563074.1","10585078627250.1","12515803750618","12479281494157.4","12812554722688","12778625872979.3","11136603589567.3","10949410485568.2","11995395410725.4","13133532217577.7","12687612091757.2","11662952155673.1","14482448707142","16082930599964.1"
High income,"HIC","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","4.00838465156215","4.07258331785786","3.88162265521018","3.77979035816502","4.271237124278","4.53004853526868","4.56494076996215","4.58571807584792","4.25153939809872","3.92386587050865","3.66654112892053","3.69007622392303","3.40807668362764","",""
High income,"HIC","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","12140409076683.5","9223279037968.34","10885842588208.9","12790954644291.8","12756962859173","12844364002630.2","12987173697000.9","11508764825979.5","11297439460836.5","12330939550738.6","13472706102789","13141510516909.5","12232478115587.4","15170488634828.7","17358282495764.3"
High income,"HIC","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","5.73341401977563","4.38796246381791","4.77142031042263","5.46964720621297","6.22596137107849","5.81070019788436","5.27988044314506","3.75051345471275","3.40390355465658","3.65608027611521","4.08591117650882","3.80581031632935","2.81686364297848","",""
IBRD only,"IBD","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","4816759660914.21","3733376913551.19","4808508632374.34","5912884452351.27","6127068193201.38","6290298757807.18","6360318000000","5571478000000","5261304000000","5934955000000","6616414000000","6516577000000","6207090000000","8160636000000","9115553000000"
IBRD only,"IBD","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","4.56263764878778","5.00459791197004","4.80239469341489","4.55273707362573","5.20807429351637","5.17570798436164","5.40956802792644","5.54757635058695","5.43944900083443","5.0690638198355","4.69174763408137","5.07983417008875","4.84273148725687","",""
